h	k	l	d (Å)	F(real)	F(imag)	|F|	2?	I	M	ID(?)	Phase
5	5	5	1.210195	67.323804	9.139911	67.9414	79.2928	0.03268	8	2	1
6	6	2	1.202206	-138.109826	-27.598085	140.84	79.6932	0.83585	24	1	1
6	6	2	1.202206	-138.046804	-27.702197	140.799	79.92519	0.4158	24	2	1
8	4	0	1.171766	471.429233	84.708234	478.979	82.20066	9.23382	24	1	1
8	4	0	1.171766	471.355831	85.029553	478.964	82.44318	4.59776	24	2	1
7	5	3	1.150395	9.080156	4.34882	10.0678	84.07117	0.00792	48	1	1
9	1	1	1.150395	52.736623	8.078177	53.3517	84.07117	0.11118	24	1	1
7	5	3	1.150395	9.072846	4.364248	10.0679	84.32181	0.00394	48	2	1
9	1	1	1.150395	52.732203	8.10911	53.3521	84.32181	0.05538	24	2	1
8	4	2	1.143526	24.537705	-13.265286	27.8938	84.69317	0.06023	48	1	1
8	4	2	1.143526	24.608844	-13.310236	27.9778	84.94656	0.03019	48	2	1
6	6	4	1.117235	294.554704	69.141122	302.561	87.17563	3.43002	24	1	1
6	6	4	1.117235	294.47343	69.398622	302.541	87.4403	1.70952	24	2	1
9	3	1	1.098665	40.619013	7.199277	41.2521	89.03375	0.125	48	1	1
9	3	1	1.098665	40.613898	7.226519	41.2518	89.30717	0.06234	48	2	1
8	4	4	1.069671	418.142997	79.483491	425.63	92.12932	6.48875	24	1	1
8	4	4	1.069671	418.073797	79.784868	425.619	92.41796	3.23829	24	2	1
7	5	5	1.053339	31.331722	6.519676	32.0029	93.98907	0.03631	24	1	1
7	7	1	1.053339	-7.835093	3.029756	8.40048	93.98907	0.0025	24	1	1
9	3	3	1.053339	29.883053	6.390594	30.5587	93.98907	0.03311	24	1	1
7	5	5	1.053339	31.326073	6.544058	32.0023	94.28727	0.01813	24	2	1
7	7	1	1.053339	-7.843447	3.039627	8.41184	94.28727	0.00125	24	2	1
9	3	3	1.053339	29.877303	6.414439	30.5581	94.28727	0.01653	24	2	1
8	6	0	1.048059	27.179672	-11.684912	29.585	94.60983	0.03095	24	1	1
10	0	0	1.048059	37.605106	-10.753715	39.1125	94.60983	0.01352	6	1	1
8	6	0	1.048059	27.246354	-11.724104	29.6617	94.91129	0.01554	24	2	1
10	0	0	1.048059	37.67251	-10.789036	39.187	94.91129	0.00678	6	2	1
8	6	2	1.027707	258.166939	64.683969	266.147	97.09903	4.97752	48	1	1
10	2	0	1.027707	268.277288	65.595622	276.18	97.09903	2.67994	24	1	1
8	6	2	1.027707	258.090204	64.924663	266.131	97.414	2.48756	48	2	1
10	2	0	1.027707	268.201259	65.840106	276.165	97.414	1.33933	24	2	1
7	7	3	1.013197	-15.117405	2.426401	15.3109	98.97455	0.00823	24	1	1
9	5	1	1.013197	57.88804	9.055035	58.592	98.97455	0.24107	48	1	1
7	7	3	1.013197	-15.126228	2.433733	15.3208	99.30014	0.00412	24	2	1
9	5	1	1.013197	57.884353	9.089927	58.5937	99.30014	0.12057	48	2	1
6	6	6	1.008496	-101.706199	-22.787991	104.228	99.60178	0.12721	8	1	1
10	2	2	1.008496	-101.88928	-22.804652	104.41	99.60178	0.38296	24	1	1
6	6	6	1.008496	-101.650819	-22.873734	104.193	99.93102	0.06359	8	2	1
10	2	2	1.008496	-101.833913	-22.890464	104.375	99.93102	0.19143	24	2	1
9	5	3	0.97732	47.250857	8.232045	47.9626	104.02973	0.16397	48	1	1
9	5	3	0.97732	47.246538	8.263488	47.9637	104.38612	0.08215	48	2	1
8	6	4	0.973099	24.781614	-10.684602	26.9868	104.66867	0.0521	48	1	1
10	4	0	0.973099	34.016945	-9.829157	35.4085	104.66867	0.04484	24	1	1
8	6	4	0.973099	24.843762	-10.720395	27.0581	105.02921	0.02624	48	2	1
10	4	0	0.973099	34.079757	-9.861393	35.4778	105.02921	0.02256	24	2	1
10	4	2	0.956743	241.156172	61.812422	248.952	107.24414	4.51395	48	1	1
10	4	2	0.956743	241.084712	62.042797	248.94	107.62201	2.26379	48	2	1
7	7	5	0.945003	6.259956	4.513244	7.71728	109.19929	0.00221	24	1	1
11	1	1	0.945003	7.446752	4.62482	8.76602	109.19929	0.00285	24	1	1
7	7	5	0.945003	6.252767	4.529199	7.7208	109.59105	0.00111	24	2	1
11	1	1	0.945003	7.43965	4.64124	8.76867	109.59105	0.00143	24	2	1
8	8	0	0.926362	334.916808	70.062745	342.167	112.51178	2.24907	12	1	1
8	8	0	0.926362	334.855315	70.328196	342.161	112.92868	1.13029	12	2	1
9	5	5	0.915694	60.622402	9.772398	61.405	114.53724	0.1487	24	1	1
9	7	1	0.915694	29.806342	6.827183	30.5782	114.53724	0.07375	48	1	1
11	3	1	0.915694	0.673829	4.042871	4.09864	114.53724	0.00132	48	1	1
9	5	5	0.915694	60.619305	9.810198	61.408	114.97062	0.0748	24	2	1
9	7	1	0.915694	29.800963	6.852738	30.5787	114.97062	0.0371	48	2	1
11	3	1	0.915694	0.666292	4.05685	4.1112	114.97062	0.00067	48	2	1
8	8	2	0.912219	18.917438	-10.137738	21.4626	115.21956	0.01834	24	1	1
10	4	4	0.912219	31.264198	-8.955319	32.5215	115.21956	0.04211	24	1	1
8	8	2	0.912219	18.97505	-10.171964	21.5295	115.65871	0.00928	24	2	1
10	4	4	0.912219	31.322727	-8.98463	32.5858	115.65871	0.02127	24	2	1
8	6	6	0.898703	214.033194	57.892349	221.724	117.98906	2.04013	24	1	1
10	6	0	0.898703	222.002641	58.661711	229.622	117.98906	2.18806	24	1	1
8	6	6	0.898703	213.965735	58.107948	221.716	118.45276	1.0276	24	2	1
10	6	0	0.898703	221.935778	58.880508	229.614	118.45276	1.10211	24	2	1
9	7	3	0.888952	22.183378	6.180262	23.0282	120.11347	0.04559	48	1	1
11	3	3	0.888952	-5.295872	3.511602	6.35434	120.11347	0.00174	24	1	1
9	7	3	0.888952	22.17752	6.203108	23.0287	120.59741	0.02299	48	2	1
11	3	3	0.888952	-5.303798	3.523353	6.36744	120.59741	0.00088	24	2	1
10	6	2	0.885772	-74.488603	-18.715317	76.8037	120.83169	0.51348	48	1	1
10	6	2	0.885772	-74.439993	-18.785542	76.7738	121.32277	0.25879	48	2	1
8	8	4	0.873383	301.656882	65.811365	308.752	123.76119	4.37994	24	1	1
12	0	0	0.873383	301.934976	65.838639	309.03	123.76119	1.09695	6	1	1
8	8	4	0.873383	301.598915	66.060615	308.749	124.28316	2.21229	24	2	1
12	0	0	0.873383	301.877029	66.088002	309.026	124.28316	0.55407	6	2	1
7	7	7	0.864425	-11.020345	2.979909	11.4161	126.02539	0.00209	8	1	1
11	5	1	0.864425	17.402911	5.783777	18.3388	126.02539	0.03233	48	1	1
7	7	7	0.864425	-11.028656	2.989433	11.4266	126.57336	0.00106	8	2	1
11	5	1	0.864425	17.396772	5.804959	18.3397	126.57336	0.01635	48	2	1
12	2	0	0.861499	18.355724	-9.190079	20.5278	126.79455	0.02058	24	1	1
12	2	0	0.861499	18.409437	-9.221025	20.5897	127.35183	0.01048	24	2	1
